description,title,url,date,location,images,address,server,price,image_urls,spider,project
location,image_urls,title,server,address,images,date,price,description,project,url,spider
,https://i.ebayimg.com/00/s/NDA0WDY1Mw==/z/XqcAAOSwLsBZVQYn/$_86.JPG,*Bayswater* - 2 Bedroom Apartment To Rent,UX360CA,"Westminster, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 4, 382009)]",[450.0],"A well presented, newly decorated two double bedroom apartment on the fourth floor of this impressive period building. Comprising an open plan L shaped kitchen/diner, two double bedrooms and guest bathroom. Offered furnished and available now.  The property is located moments from the excellent facilities of Queensway, Westbourne Grove and the West End. Transport links include Royal Oak Underground Station (Hammersmith & City Line) while Paddington is also nearby (Bakerloo, District, Circle lines and National Rail).  Should you be interested to arrange a viewing kindly call Mari on; 07469112616 07866443418   ML28062017-H0054D Bed room in friendly shared house, 2 min from wandsworth road station
- Room: Fully furnished, includes Single bed, chest of drawers, cupboard, free wireless internet has a garden. Also near big park for running and walking (10 min from Vauxhall 5 10 minutes walk to south harrow station. double glazed and gas central heating, double bed, large kitchen and sitting room, two bathrooms. front and rear garden, washing machine ,micro waves wave etc close to park and shops. looking for nice clean Homes for living are proud to present this stunning 1 bed flat near Central London.
- Large rooms
- Modern bathroom
- Fully fitted kitchen
- Fully furnished apartment
- City Centre Location
- Internet Access - Wifi
- Iron/Ironing Board Homes for Living are proud to present a selection of stunning 1 beds available in the heart of Wandsworth. The property boasts:
- 1 Large double bedroom
- A Large open plan/kitchen living area
- Large Modern bathroom
- High specification throu Homes for Living are proud to present a selection of brand new 2 bedroom flats available. The flat boasts:
- 2 double bedrooms
- Kitchen/Living area
- Modern bathroom
- Furnished
- Quality finishing through out
Please note that this prope Homes for Living are proud to present this spacious 1 bedroom flat located in the heart of south norwood. This property is located just behind the popular high street. 5 minutes walk away from Norwood Junction station (direct trains to London Bridge) Homes for Living are proud to present this modern 1 bed flat located in South Norwood. This flat is part of a new conversion and is only 7 minutes walk to Norwood Junction. The property boasts:
- 1 double bedroom
- Modern open plan kitchen/living Refurbished 3 bed flat located just minutes from Norwood Junction! This property boasts:
- 3 double bedrooms
- 2 bathrooms
- Large open plan kitchen/living room
- Wooden floor throughout
- Plenty of natural light
Please note that the prope Homes for Living are proud to present this amazing two bedroom apartment. The property has been finished to an exceptional standard and comprises an :
- open plan reception
- a smart integrated kitchen
- good sized double bedrooms
- luxurious Huge 2 bedroom flat available to rent!
BRAND NEW 5* FLATS NOW AVAILABLE - LUXURY FINISHING AND FURNITURE!
Close to stations
Large double bedrooms
Fully furnished
Stunning views
Modern bathroom
Fully fitted kitchen
Many",gumtree,https://www.gumtree.com/p/property-to-rent/-bayswater-2-bedroom-apartment-to-rent/1251776003,manual
,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/YpAAAOSw4GVYSUX5/$_86.JPG,Earls Court – Elegant Newly Refurbished Studio *,UX360CA,"Earls Court, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 27478)]",[330.0],"Bright self contained studio flat with open plan kitchen and ensuite shower / wc. - Free WIFI - Free SKY TV channels - Free shared laundry facilities  Room features: Neutral décor, Double bed, Fitted shelves, Wardrobe, Chest of drawers, Fitted table, Chair, Flat screen TV.  Kitchen features: Oven, Cooker, Fridge/Freezer, Microwave, Kettle, Fitted units, pots, plates, cups, glasses, cutlery.  Bathroom features: Shower, Toilet, Wash Basin.  Fantastic location – Central London; nearest tube station - Earl's Court (2 min walk); within walking distance to Gloucester Road, South Kensington and Chelsea.  £300 per week/£1300 per month. Please note, electricity, water and heating are included in rent.   Should you be interested to arrange a viewing, please contact Marija on:  074 69112616 074 71944555   Ref: O-081216-004-A04 Bed room in friendly shared house, 2 min from wandsworth road station
- Room: Fully furnished, includes Single bed, chest of drawers, cupboard, free wireless internet has a garden. Also near big park for running and walking (10 min from Vauxhall 5 10 minutes walk to south harrow station. double glazed and gas central heating, double bed, large kitchen and sitting room, two bathrooms. front and rear garden, washing machine ,micro waves wave etc close to park and shops. looking for nice clean Homes for living are proud to present this stunning 1 bed flat near Central London.
- Large rooms
- Modern bathroom
- Fully fitted kitchen
- Fully furnished apartment
- City Centre Location
- Internet Access - Wifi
- Iron/Ironing Board Homes for Living are proud to present a selection of stunning 1 beds available in the heart of Wandsworth. The property boasts:
- 1 Large double bedroom
- A Large open plan/kitchen living area
- Large Modern bathroom
- High specification throu Homes for Living are proud to present a selection of brand new 2 bedroom flats available. The flat boasts:
- 2 double bedrooms
- Kitchen/Living area
- Modern bathroom
- Furnished
- Quality finishing through out
Please note that this prope Homes for Living are proud to present this spacious 1 bedroom flat located in the heart of south norwood. This property is located just behind the popular high street. 5 minutes walk away from Norwood Junction station (direct trains to London Bridge) Homes for Living are proud to present this modern 1 bed flat located in South Norwood. This flat is part of a new conversion and is only 7 minutes walk to Norwood Junction. The property boasts:
- 1 double bedroom
- Modern open plan kitchen/living Refurbished 3 bed flat located just minutes from Norwood Junction! This property boasts:
- 3 double bedrooms
- 2 bathrooms
- Large open plan kitchen/living room
- Wooden floor throughout
- Plenty of natural light
Please note that the prope Homes for Living are proud to present this amazing two bedroom apartment. The property has been finished to an exceptional standard and comprises an :
- open plan reception
- a smart integrated kitchen
- good sized double bedrooms
- luxurious Huge 2 bedroom flat available to rent!
BRAND NEW 5* FLATS NOW AVAILABLE - LUXURY FINISHING AND FURNITURE!
Close to stations
Large double bedrooms
Fully furnished
Stunning views
Modern bathroom
Fully fitted kitchen
Many",gumtree,https://www.gumtree.com/p/property-to-rent/earls-court-elegant-newly-refurbished-studio-/1203938417,manual
,https://i.ebayimg.com/00/s/Njc4WDEwMjQ=/z/IAwAAOSwuxFYxoJf/$_86.JPG,"Garden Studio Flat - Earls Court, Bills Included",UX360CA,"Earls Court, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 51742)]",[350.0],"Clean self contained studio flat situated in a period property.  Open plan kitchen with oven/ cooker/ fridge. En-suite shower/WC. Fully furnished. Laminate wood effect flooring. Free wireless internet. Free selected sky TV channels. Free shared laundry facilities. Use of well maintained shared garden.  The rent includes electricity, water, heating. Minimum stay is 6 months. DSS and pets are not accepted.  Zone 1-2 (central London) 5-10 minutes walk to Earl's Court underground station (District and Piccadilly lines), shops, buses, High Street Kensington and Holland Park, within walking distance to Gloucester Road and South Kensington. Bed room in friendly shared house, 2 min from wandsworth road station
- Room: Fully furnished, includes Single bed, chest of drawers, cupboard, free wireless internet has a garden. Also near big park for running and walking (10 min from Vauxhall 5 10 minutes walk to south harrow station. double glazed and gas central heating, double bed, large kitchen and sitting room, two bathrooms. front and rear garden, washing machine ,micro waves wave etc close to park and shops. looking for nice clean Homes for living are proud to present this stunning 1 bed flat near Central London.
- Large rooms
- Modern bathroom
- Fully fitted kitchen
- Fully furnished apartment
- City Centre Location
- Internet Access - Wifi
- Iron/Ironing Board Homes for Living are proud to present a selection of stunning 1 beds available in the heart of Wandsworth. The property boasts:
- 1 Large double bedroom
- A Large open plan/kitchen living area
- Large Modern bathroom
- High specification throu Homes for Living are proud to present a selection of brand new 2 bedroom flats available. The flat boasts:
- 2 double bedrooms
- Kitchen/Living area
- Modern bathroom
- Furnished
- Quality finishing through out
Please note that this prope Homes for Living are proud to present this spacious 1 bedroom flat located in the heart of south norwood. This property is located just behind the popular high street. 5 minutes walk away from Norwood Junction station (direct trains to London Bridge) Homes for Living are proud to present this modern 1 bed flat located in South Norwood. This flat is part of a new conversion and is only 7 minutes walk to Norwood Junction. The property boasts:
- 1 double bedroom
- Modern open plan kitchen/living Refurbished 3 bed flat located just minutes from Norwood Junction! This property boasts:
- 3 double bedrooms
- 2 bathrooms
- Large open plan kitchen/living room
- Wooden floor throughout
- Plenty of natural light
Please note that the prope Homes for Living are proud to present this amazing two bedroom apartment. The property has been finished to an exceptional standard and comprises an :
- open plan reception
- a smart integrated kitchen
- good sized double bedrooms
- luxurious Huge 2 bedroom flat available to rent!
BRAND NEW 5* FLATS NOW AVAILABLE - LUXURY FINISHING AND FURNITURE!
Close to stations
Large double bedrooms
Fully furnished
Stunning views
Modern bathroom
Fully fitted kitchen
Many",gumtree,https://www.gumtree.com/p/property-to-rent/garden-studio-flat-earls-court-bills-included/1223192591,manual
,https://i.ebayimg.com/00/s/Njc4WDEwMjQ=/z/LlkAAOSwYlJW4Xks/$_86.JPG,***Pimlico*** - Modern Split Level Studio Apartment,UX360CA,"Westminster, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 81312)]",[330.0],"MODERN SPLIT LEVEL studio apartment situated on the ground floor of a lovely Victorian style property -Self contained -Open plan fitted kitchen with oven/cooker/fridge /microwave -En-suite tiled shower/wc with heated towel rail -Neutral décor -FULLY FURNISHED -Laminate WOOD effect floors, -TV -FREE WIFI -Free selected SKY channels -the rent includes electricity,water and central heating GREAT LOCATION  Zone 1 (CENTRAL LONDON) 5 minutes walk to Pimlico underground station (Victoria Line), 10 minutes walk to Victoria underground/train/coach station (District and Circle Lines), 5 minutes walk to Thames River, buses, shops, cafes and restaurants, within walking distace to Buckingham Palace, Tate Gallery and Westminster.  Room features: Single sofa bed, Double bed, Fitted bookcase, Wardrobe, Chairs, Coffee table, Flat screen TV, Dust buster Kitchen features: Oven, Cooker, Fridge/Freezer, Microwave, Kettle, Fitted units, pots, plates, cups, glasses, cutlery Bathroom features: Shower, Toilet, Wash Basin, Heater Towel Rail  To arrange the viewing, please call Mari on 07469112616 211 North street, sheepscar, Leeds. 15 mins walk to The Headrow
400m from the Leeds arena
Road frontage on busy interchange into Leeds.
Approx 25000 vehicles pass every day
Major junction with possibly the busiest Bus route for north Leeds.
Ne Stunning large studio apartment located in a warehouse CONVERSION. Benefits from wood flooring and high ceilings. 5 minute walk to the Station!
This spacious studio is in excellent condition and features a large reception/ sleeping area with room Atkinson McLeod are proud to present this one bedroom modern apartment located in the heart of Hackney with communal Garden.
This spacious and bright property is situated on the second floor of a building presiding in a gated development. Compris lovely 3 bedroom home in Dagenham 1400pcm is nice clean home no agents please or council tenants admin charges do apply book now to view please email me with your contact details to book a viewing Beautiful, 2 Bedroom Flat Located in the West End of the City
Spacious Lounge
Fully Fitted Kitchen
2 Large, Double Bedrooms
Landlord Registration Number: 569313/180/10081
EPC Rating: C 71 Double room available 1st February 2018!
A lovely spacious 5 bedroom detached property conveniently situated within 1 mile of Wolverhampton City Centre and 1 mile of the M54
This property has been tastefully decorated in its presentation and woul More Property are pleased to offer for rent this unfurnished 2 bed flat on Wintons, Maple Road. The property is neutrally decorated throughout and consists of 2 entrances one into its own hallway and the 2nd into the master bedroom from the communal 4 / 5 bedroom semi-detached house on residential road. The house is fully furnished with new beds and general décor to a very high standard. Newly fitted kitchen and bathroom, also has downstairs toilet and utility room. Large kitchen/dining room. Hello everybody, I have a studio flat per £1.200pm available now. All bills included.
Available now N4 2HY, in front of Finsbury Park zone 2 underground Piccadilly and Victoria line.
Contact me inbox or by whatsapp 07570 426302. Thank you. The house has been refurbished to a high standard. The location is very convenient being close to Oxford City Centre, the Canal and Port Meadow. The property has three floors, open plan kitchen/dining/sitting room with a fully equipped kitchen. Ther",gumtree,https://www.gumtree.com/p/property-to-rent/-pimlico-modern-split-level-studio-apartment-/1159016260,manual
,https://i.ebayimg.com/00/s/MjQ1WDQzMA==/z/ehoAAOSwA3dYlMwh/$_86.JPG,***Mayfair*** - Well Proportioned Studio Aparment With Separate Kitchen,UX360CA,"West End, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 134475)]",[470.0],"This well proportioned studio apartment on the 5th floor of the beautiful red brick building, situated in the heart of London’s fashionable Mayfair  - over 270sq ft. - large living room area - modern bathroom - separate unique kitchenette - lift service - video entry - porter - located between two of London's parks Hyde Park and Green Park   To arrange the viewing, please call Mari on: 074 69112616 074 71944555  M0302217- H003   211 North street, sheepscar, Leeds. 15 mins walk to The Headrow
400m from the Leeds arena
Road frontage on busy interchange into Leeds.
Approx 25000 vehicles pass every day
Major junction with possibly the busiest Bus route for north Leeds.
Ne Stunning large studio apartment located in a warehouse CONVERSION. Benefits from wood flooring and high ceilings. 5 minute walk to the Station!
This spacious studio is in excellent condition and features a large reception/ sleeping area with room Atkinson McLeod are proud to present this one bedroom modern apartment located in the heart of Hackney with communal Garden.
This spacious and bright property is situated on the second floor of a building presiding in a gated development. Compris lovely 3 bedroom home in Dagenham 1400pcm is nice clean home no agents please or council tenants admin charges do apply book now to view please email me with your contact details to book a viewing Beautiful, 2 Bedroom Flat Located in the West End of the City
Spacious Lounge
Fully Fitted Kitchen
2 Large, Double Bedrooms
Landlord Registration Number: 569313/180/10081
EPC Rating: C 71 Double room available 1st February 2018!
A lovely spacious 5 bedroom detached property conveniently situated within 1 mile of Wolverhampton City Centre and 1 mile of the M54
This property has been tastefully decorated in its presentation and woul More Property are pleased to offer for rent this unfurnished 2 bed flat on Wintons, Maple Road. The property is neutrally decorated throughout and consists of 2 entrances one into its own hallway and the 2nd into the master bedroom from the communal 4 / 5 bedroom semi-detached house on residential road. The house is fully furnished with new beds and general décor to a very high standard. Newly fitted kitchen and bathroom, also has downstairs toilet and utility room. Large kitchen/dining room. Hello everybody, I have a studio flat per £1.200pm available now. All bills included.
Available now N4 2HY, in front of Finsbury Park zone 2 underground Piccadilly and Victoria line.
Contact me inbox or by whatsapp 07570 426302. Thank you. The house has been refurbished to a high standard. The location is very convenient being close to Oxford City Centre, the Canal and Port Meadow. The property has three floors, open plan kitchen/dining/sitting room with a fully equipped kitchen. Ther",gumtree,https://www.gumtree.com/p/property-to-rent/-mayfair-well-proportioned-studio-aparment-with-separate-kitchen/1214378020,manual
,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/dXIAAOSw-0xYUTWP/$_86.JPG,***Euston*** – Lovely Fully Furnished Bedsit *,UX360CA,"Camden, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 172279)]",[300.0],"Modern bedsit with open plan kitchen and shared shower/wc. FREE WIFI and SKY TV. Cozy, clean bedsit with open plan kitchen and shower/wc (shared with one room only). Situated within a well maintained period property, just 2 mins walk from Euston/ Euston Square stations.  The room comprises a fully fitted kitchen with oven, cooker, microwave, fridge, freezer, neutral décor, laminate wood effect flooring, free internet, free digital television, free shared laundry facilities, use of shared garden.  Location - zone 1 (Central London). Good public transport connection: few minutes walk to EustonSquare and Euston underground/ train stations, 10 minutes walk to King’s Cross/St Pancras train stations.  £300 per week/£1300 per month. Heat, water and electricity included in rent.  Should you be interested to arrange a viewing, please contact Mari on:  074 69112616 074 71944555  Bed room in friendly shared house, 2 min from wandsworth road station
- Room: Fully furnished, includes Single bed, chest of drawers, cupboard, free wireless internet has a garden. Also near big park for running and walking (10 min from Vauxhall 5 10 minutes walk to south harrow station. double glazed and gas central heating, double bed, large kitchen and sitting room, two bathrooms. front and rear garden, washing machine ,micro waves wave etc close to park and shops. looking for nice clean Homes for living are proud to present this stunning 1 bed flat near Central London.
- Large rooms
- Modern bathroom
- Fully fitted kitchen
- Fully furnished apartment
- City Centre Location
- Internet Access - Wifi
- Iron/Ironing Board Homes for Living are proud to present a selection of stunning 1 beds available in the heart of Wandsworth. The property boasts:
- 1 Large double bedroom
- A Large open plan/kitchen living area
- Large Modern bathroom
- High specification throu Homes for Living are proud to present a selection of brand new 2 bedroom flats available. The flat boasts:
- 2 double bedrooms
- Kitchen/Living area
- Modern bathroom
- Furnished
- Quality finishing through out
Please note that this prope Homes for Living are proud to present this spacious 1 bedroom flat located in the heart of south norwood. This property is located just behind the popular high street. 5 minutes walk away from Norwood Junction station (direct trains to London Bridge) Homes for Living are proud to present this modern 1 bed flat located in South Norwood. This flat is part of a new conversion and is only 7 minutes walk to Norwood Junction. The property boasts:
- 1 double bedroom
- Modern open plan kitchen/living Refurbished 3 bed flat located just minutes from Norwood Junction! This property boasts:
- 3 double bedrooms
- 2 bathrooms
- Large open plan kitchen/living room
- Wooden floor throughout
- Plenty of natural light
Please note that the prope Homes for Living are proud to present this amazing two bedroom apartment. The property has been finished to an exceptional standard and comprises an :
- open plan reception
- a smart integrated kitchen
- good sized double bedrooms
- luxurious Huge 2 bedroom flat available to rent!
BRAND NEW 5* FLATS NOW AVAILABLE - LUXURY FINISHING AND FURNITURE!
Close to stations
Large double bedrooms
Fully furnished
Stunning views
Modern bathroom
Fully fitted kitchen
Many",gumtree,https://www.gumtree.com/p/property-to-rent/-euston-lovely-fully-furnished-bedsit-/1205154821,manual
,https://i.ebayimg.com/00/s/MjQ1WDQzMA==/z/TcMAAOSwLEtYm1nl/$_86.JPG,**Mayfair** - Modern Studio Near Berkeley Square,UX360CA,"West End, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 207597)]",[470.0],"- 5th floor studio apartment - set over 270sq ft - large living room - on-site building area, modern bathroom and a kitchenette - lift service and video entry - on-site building manager - CCTV - porter  Located between two of London's parks Hyde Park and Green Park.  To arrange for the viewing contact Mari on: 07469112616    211 North street, sheepscar, Leeds. 15 mins walk to The Headrow
400m from the Leeds arena
Road frontage on busy interchange into Leeds.
Approx 25000 vehicles pass every day
Major junction with possibly the busiest Bus route for north Leeds.
Ne Stunning large studio apartment located in a warehouse CONVERSION. Benefits from wood flooring and high ceilings. 5 minute walk to the Station!
This spacious studio is in excellent condition and features a large reception/ sleeping area with room Atkinson McLeod are proud to present this one bedroom modern apartment located in the heart of Hackney with communal Garden.
This spacious and bright property is situated on the second floor of a building presiding in a gated development. Compris lovely 3 bedroom home in Dagenham 1400pcm is nice clean home no agents please or council tenants admin charges do apply book now to view please email me with your contact details to book a viewing Beautiful, 2 Bedroom Flat Located in the West End of the City
Spacious Lounge
Fully Fitted Kitchen
2 Large, Double Bedrooms
Landlord Registration Number: 569313/180/10081
EPC Rating: C 71 Double room available 1st February 2018!
A lovely spacious 5 bedroom detached property conveniently situated within 1 mile of Wolverhampton City Centre and 1 mile of the M54
This property has been tastefully decorated in its presentation and woul More Property are pleased to offer for rent this unfurnished 2 bed flat on Wintons, Maple Road. The property is neutrally decorated throughout and consists of 2 entrances one into its own hallway and the 2nd into the master bedroom from the communal 4 / 5 bedroom semi-detached house on residential road. The house is fully furnished with new beds and general décor to a very high standard. Newly fitted kitchen and bathroom, also has downstairs toilet and utility room. Large kitchen/dining room. Hello everybody, I have a studio flat per £1.200pm available now. All bills included.
Available now N4 2HY, in front of Finsbury Park zone 2 underground Piccadilly and Victoria line.
Contact me inbox or by whatsapp 07570 426302. Thank you. The house has been refurbished to a high standard. The location is very convenient being close to Oxford City Centre, the Canal and Port Meadow. The property has three floors, open plan kitchen/dining/sitting room with a fully equipped kitchen. Ther",gumtree,https://www.gumtree.com/p/property-to-rent/-mayfair-modern-studio-near-berkeley-square-/1215399323,manual
,https://i.ebayimg.com/00/s/NzY4WDEwMjQ=/z/YOkAAOSwCmZZPsxW/$_86.JPG,***Hammersmith *** - Charming One Bedroom Apartment,UX360CA,"Golders Green, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 235446)]",[400.0],"- Fully Furnished - One Bedroom - All the bills included  Located on Fulham Palace Road opposite Charing Cross Hospital, walking distance to Hammersmith Underground Station, shops, restaurants, theatres and the Thames River.  To arrange for a viewing please contact Mari on: 07469112616 07471944555   Bed room in friendly shared house, 2 min from wandsworth road station
- Room: Fully furnished, includes Single bed, chest of drawers, cupboard, free wireless internet has a garden. Also near big park for running and walking (10 min from Vauxhall 5 10 minutes walk to south harrow station. double glazed and gas central heating, double bed, large kitchen and sitting room, two bathrooms. front and rear garden, washing machine ,micro waves wave etc close to park and shops. looking for nice clean Homes for living are proud to present this stunning 1 bed flat near Central London.
- Large rooms
- Modern bathroom
- Fully fitted kitchen
- Fully furnished apartment
- City Centre Location
- Internet Access - Wifi
- Iron/Ironing Board Homes for Living are proud to present a selection of stunning 1 beds available in the heart of Wandsworth. The property boasts:
- 1 Large double bedroom
- A Large open plan/kitchen living area
- Large Modern bathroom
- High specification throu Homes for Living are proud to present a selection of brand new 2 bedroom flats available. The flat boasts:
- 2 double bedrooms
- Kitchen/Living area
- Modern bathroom
- Furnished
- Quality finishing through out
Please note that this prope Homes for Living are proud to present this spacious 1 bedroom flat located in the heart of south norwood. This property is located just behind the popular high street. 5 minutes walk away from Norwood Junction station (direct trains to London Bridge) Homes for Living are proud to present this modern 1 bed flat located in South Norwood. This flat is part of a new conversion and is only 7 minutes walk to Norwood Junction. The property boasts:
- 1 double bedroom
- Modern open plan kitchen/living Refurbished 3 bed flat located just minutes from Norwood Junction! This property boasts:
- 3 double bedrooms
- 2 bathrooms
- Large open plan kitchen/living room
- Wooden floor throughout
- Plenty of natural light
Please note that the prope Homes for Living are proud to present this amazing two bedroom apartment. The property has been finished to an exceptional standard and comprises an :
- open plan reception
- a smart integrated kitchen
- good sized double bedrooms
- luxurious Huge 2 bedroom flat available to rent!
BRAND NEW 5* FLATS NOW AVAILABLE - LUXURY FINISHING AND FURNITURE!
Close to stations
Large double bedrooms
Fully furnished
Stunning views
Modern bathroom
Fully fitted kitchen
Many",gumtree,https://www.gumtree.com/p/property-to-rent/-hammersmith-charming-one-bedroom-apartment/1248209780,manual
,https://i.ebayimg.com/00/s/MjQ1WDQzMA==/z/UFkAAOSwAuZX5R-f/$_86.JPG,***Paddington*** - Outstanding Interior Designed 3 Bedroom Apartment With Water Views,UX360CA,"Westminster, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 281273)]",[1400.0],"14th floor three bedroom apartment with stylish décor and water views, set within the heart of the Paddington Basin.  Key features: Amazing reception room modern fully fitted open plan kitchen 3 bedrooms 2 bathrooms CCTV Digital TV Lifts Secure parking Video Entry Available furnished or unfurnished 803sq ft  The apartment offers easy access to Paddington Train Station (Bakerloo, Hammersmith & City, Circle, District lines and Heathrow) and Edgware Road (Circle, District and Bakerloo lines).  Should you be interested to arrange a viewing or discuss further, please contact Mari on: 07469112616 07866443418  Ref: O-230916-003-A03 211 North street, sheepscar, Leeds. 15 mins walk to The Headrow
400m from the Leeds arena
Road frontage on busy interchange into Leeds.
Approx 25000 vehicles pass every day
Major junction with possibly the busiest Bus route for north Leeds.
Ne Stunning large studio apartment located in a warehouse CONVERSION. Benefits from wood flooring and high ceilings. 5 minute walk to the Station!
This spacious studio is in excellent condition and features a large reception/ sleeping area with room Atkinson McLeod are proud to present this one bedroom modern apartment located in the heart of Hackney with communal Garden.
This spacious and bright property is situated on the second floor of a building presiding in a gated development. Compris lovely 3 bedroom home in Dagenham 1400pcm is nice clean home no agents please or council tenants admin charges do apply book now to view please email me with your contact details to book a viewing Beautiful, 2 Bedroom Flat Located in the West End of the City
Spacious Lounge
Fully Fitted Kitchen
2 Large, Double Bedrooms
Landlord Registration Number: 569313/180/10081
EPC Rating: C 71 Double room available 1st February 2018!
A lovely spacious 5 bedroom detached property conveniently situated within 1 mile of Wolverhampton City Centre and 1 mile of the M54
This property has been tastefully decorated in its presentation and woul More Property are pleased to offer for rent this unfurnished 2 bed flat on Wintons, Maple Road. The property is neutrally decorated throughout and consists of 2 entrances one into its own hallway and the 2nd into the master bedroom from the communal 4 / 5 bedroom semi-detached house on residential road. The house is fully furnished with new beds and general décor to a very high standard. Newly fitted kitchen and bathroom, also has downstairs toilet and utility room. Large kitchen/dining room. Hello everybody, I have a studio flat per £1.200pm available now. All bills included.
Available now N4 2HY, in front of Finsbury Park zone 2 underground Piccadilly and Victoria line.
Contact me inbox or by whatsapp 07570 426302. Thank you. The house has been refurbished to a high standard. The location is very convenient being close to Oxford City Centre, the Canal and Port Meadow. The property has three floors, open plan kitchen/dining/sitting room with a fully equipped kitchen. Ther",gumtree,https://www.gumtree.com/p/property-to-rent/-paddington-outstanding-interior-designed-3-bedroom-apartment-with-water-views/1189465823,manual
,https://i.ebayimg.com/00/s/NDgwWDY0MA==/z/KWYAAOSwJ7RYTcIp/$_86.JPG,"***Bloomsbury*** – Clean, Bright Studio Apartment",UX360CA,"Camden, London",,"[datetime.datetime(2018, 2, 1, 14, 57, 5, 651058)]",[350.0],"Elegant ground floor studio flat refurbished to a high standard. Located in a well maintained recently refurbished period building facing the front, overlooking a beautiful garden square.  Main features: - Self contained - Open plan fitted kitchen: cooker, oven, fridge, freezer, microwave - En-suite shower/wc - Fully furnished - Air conditioning - Free fast internet & digital TV/selected Sky channels - Free shared laundry - Use of shared landscaped back gardens  Location in Central London (Zone 1). Nearest Stations: Russell Square and Euston (5 min walk). Within walking distance Euston/King’s Cross/St Pancras train stations.  The rent includes electricity, water and heating. £350 per week/£1516 per month.  Should you be interested to arrange a viewing, please contact Marija on: 074 69112616 074 71944555   Ref: O-121216-004-A01 211 North street, sheepscar, Leeds. 15 mins walk to The Headrow
400m from the Leeds arena
Road frontage on busy interchange into Leeds.
Approx 25000 vehicles pass every day
Major junction with possibly the busiest Bus route for north Leeds.
Ne Stunning large studio apartment located in a warehouse CONVERSION. Benefits from wood flooring and high ceilings. 5 minute walk to the Station!
This spacious studio is in excellent condition and features a large reception/ sleeping area with room Atkinson McLeod are proud to present this one bedroom modern apartment located in the heart of Hackney with communal Garden.
This spacious and bright property is situated on the second floor of a building presiding in a gated development. Compris lovely 3 bedroom home in Dagenham 1400pcm is nice clean home no agents please or council tenants admin charges do apply book now to view please email me with your contact details to book a viewing Beautiful, 2 Bedroom Flat Located in the West End of the City
Spacious Lounge
Fully Fitted Kitchen
2 Large, Double Bedrooms
Landlord Registration Number: 569313/180/10081
EPC Rating: C 71 Double room available 1st February 2018!
A lovely spacious 5 bedroom detached property conveniently situated within 1 mile of Wolverhampton City Centre and 1 mile of the M54
This property has been tastefully decorated in its presentation and woul More Property are pleased to offer for rent this unfurnished 2 bed flat on Wintons, Maple Road. The property is neutrally decorated throughout and consists of 2 entrances one into its own hallway and the 2nd into the master bedroom from the communal 4 / 5 bedroom semi-detached house on residential road. The house is fully furnished with new beds and general décor to a very high standard. Newly fitted kitchen and bathroom, also has downstairs toilet and utility room. Large kitchen/dining room. Hello everybody, I have a studio flat per £1.200pm available now. All bills included.
Available now N4 2HY, in front of Finsbury Park zone 2 underground Piccadilly and Victoria line.
Contact me inbox or by whatsapp 07570 426302. Thank you. The house has been refurbished to a high standard. The location is very convenient being close to Oxford City Centre, the Canal and Port Meadow. The property has three floors, open plan kitchen/dining/sitting room with a fully equipped kitchen. Ther",gumtree,https://www.gumtree.com/p/property-to-rent/-bloomsbury-clean-bright-studio-apartment-/1204719381,manual
